"sample_id","engagement_kind","sha256","mb_url","name_tag","status","platform","date_started","date_closed","score_flag","vm_folder_hint","notes"
"sample_01","file","ffd448f1e3038c6c324570ab12dbf65ddbef471f0ababfb9f2a3bb47eead5bd7","https://malwarebazaar.abuse.ch/sample/ffd448f1e3038c6c324570ab12dbf65ddbef471f0ababfb9f2a3bb47eead5bd7/","Updater_v2.211.exe","static_and_initial_dynamic_done","","2026-05-06","","","C:\Users\win11\Downloads\ffd448f1e3038c6c324570ab12dbf65ddbef471f0ababfb9f2a3bb47eead5bd7\","HEIC to PNG; NSIS pijawoBridge static; IMG_6042 deceptive UI; optional Procmon pass"
"sample_02","file","","","","empty","","","","","","Reserve -- fill when assigned"
"sample_03","file","","","","empty","","","","","","Reserve -- fill when assigned"
"sample_04","file","","","","empty","","","","","","Reserve -- fill when assigned"
"sample_05","file","","","","empty","","","","","","Reserve -- fill when assigned"
"sample_06","file","","","","empty","","","","","","Added by new_sample.ps1"
